source,functions,application
MEFTEX,achieve-parameters; retain-characteristics; maintain-properties,metallized nonwoven fabric for high-load applications
Megawood,bind-polymer; cultivate-sustainably; resist-UV; resist-weather; resist-scratch,outdoor terrace deck
Melatone polycarbonate,integrate-natural-elements; provide-translucence; offer-smooth-texture,translucent decorative panels
Melatone woven wood,create-sheets; weave-patterns,decorative wall panels
Mellanyl,serve-substitute; resemble-sheets; printable-sheets; cut-sheets; bend-sheets; mill-sheets,point of sale displays
Mellow Face,create-skin; finish-impermeable; provide-hygiene; allow-customization,waterproof outdoor furniture
melt to wealth,develop-novel fabric; grind-discarded clothing; mix-fabric pieces; press-new cloth,non-woven fabric for sustainable clothing
Melting works,create-art; melt-structure; laser-etch,textile art forms for galleries
Merck Effect Pigments,create-colour effects; provide-lustre; support-conductive properties,automotive paint with iridescent effects
Merdacotta,mix-noun; extract-noun; bake-noun,odourless ceramic tiles and tableware
META-COAT,improve-temperature resistance; improve-wear resistance; improve-chemical resistance; enhance-solderability,metal-coated plastic components for soldering
Metafuse,apply-nanocrystalline layer; manufacture-lightweight components; improve-strength and stiffness; add-wear resistant coating; enhance-conductivity and stability,lightweight structural components with complex shapes
’METAL’ Collection,create depth; show fine structure; reflect light,contract loop carpets with metallic appearance
Metal Gres,coat-tile; resist-scratch; resist-fire; resist-UV; resist-weather,bathroom and kitchen wall tiles
Metal Grills,create-components; achieve-solutions; provide-utility; offer-beauty,decorative metal trim
Metal Laminate,laminate-surface; connect-layer; deposit-layer,fronts for carcass furniture
Metal Mesh systems,reduce solar heat gain; provide fall protection; enhance safety; serve as a space divider; cover walls,building facade with shading capabilities
Metal Meshes for Architecture,increase transparency; decrease density; create optical effects; provide toughness; support structures,architectural facade elements
Metal Meshes,provide-safety; enhance-soundproofing; offer-insulation; enable-transparency; facilitate-easy-cleaning,laminated glass panels with metal meshes
Metal structural surfaces,create-surface; provide-waterproofing; offer-durability; allow-customization,interior and exterior cladding panels
Ignorance is Bliss ceramic tiles,recover value; apply pigment; produce tiles; ensure colours; create variations,interior and exterior ceramic tiles
Metal woven textiles,provide flexibility; offer stain resistance; ensure non-flammability; deliver anti-static properties,room dividers and wall coverings
Metalbrick,provide durability; offer aesthetic appeal; resist weathering; enable customization,metal-accented wall panels
MetalCast,create-surface; provide-finish; customize-appearance,decorative door casing
Metalkern,provide-nonstructural support; offer-weather resistance; enable-easy installation; ensure-impact resistance; allow-low maintenance,decorative exterior cladding panels
Foin Metallic Mesh,reflect-light; create-play; provide-protection,protective gloves and aprons for food processing
Metallic wood,create-panel; control-noise; diffuse-sound,modular wall tile for noise control
Metallismo,prevent conductivity; provide fire resistance; support wet environment use,decorative wall and floor tiles
Metalresin,provide-metal-like finish; allow-form freedom; resist-oxidation,decorative architectural elements
Metalspray,coat-surface; oxidize-exterior; simulate-metal-feel,decorative metal-like finish for objects
Metawell,bonding-cover sheets; adapting-characteristics; developing-lightweight panels; providing-high rigidity,lightweight sandwich panels for transportation
Metile,reflective-surface; anti-slide-properties; anti-scratch-properties,decorative floor tiles
Metis seagrass,repurpose-waste; create-panels; provide-aesthetic-appeal; bond-bio-based-materials,wall coverings made from seagrass panels
Métisse recycled textile insulation,regulate moisture; provide insulation; reduce energy bill; improve acoustics,thermal and acoustic insulation for buildings
Metpore Metal Foam,provide heat-exchange; support filtration; enable infrared burner,heat exchanger for industrial processes
MevoCem,reduce carbon emissions; enable sustainable construction; ensure superior performance,ready-mix concrete for construction
mFLOR LVT design floors Authentic,mimic-wood; mimic-stone; provide-durability; offer-design-variety,interior flooring solution
.MGX,create-object; add-slice; harden-material,3D printed lamp
Miacore,provide rigidity; offer fire resistance; support heavy coverings,lightweight wall panels for boats
Mica laminates,provide-translucent infill; bind-fiberglass; allow-thermoforming; enable-recyclability,translucent infill panels for food environments
Michelangelo print,achieve high-resolution printing; allow printing on rigid media; control contour recognition; provide homogeneous colour results,decorative glass and metal surfaces
Micro Perforated Veneer,absorb-sound; create-patterns; form-panels,acoustic wall panels with decorative designs
Micro-Perforation panels,absorb-sound; reduce-sound vibrations; improve-aesthetics; provide-appearance,acoustic wall panels for office spaces
MicroCemento,renovate-floor; replace-carpet; apply-on-surfaces; customize-room,floor and wall renovation system
Microfiber Plus,create-texture; integrate-structure; provide-softness; offer-supple-feel,synthetic suede upholstery for furniture
Microfibre Vinyl,replace-noun; resist-noun; clean-verb,upholstery for public seating areas
MicroLouvre,control-solar radiation; reduce-solar heat gain; regulate-light transmission; act-glare reduction; mitigate-fire spread; provide-privacy,ventilated façade systems
Micromoulded biocomposites,change-material qualities; mould-raw material; automated-joining layers; 3D-shaping sheet,functional parts in furniture design
Micronal PCM,absorb-energy; release-energy; increase-thermal-capacity; dampen-temperature-swings,interior temperature management system in buildings
Barrisol MICROSORBER®,reduce sound reflexion; convert sound energy; reduce reverberation times; reduce sound levels,acoustic panel for sound optimization
Microthin,create-panel; reduce-weight; enable-translucency,lightweight wall cladding system
Mikado,create-module; cover-floor; cover-wall,laminated wood flooring and wall tiles
Mikor,provide strength; create lightweight structure; exhibit chemical resistance; enable dimensional stability; extend versatility,composite structural panels for aerospace
Milkofil,stimulates blood circulation; absorbs humidity; is a natural antibacterial agent; allows skin to breathe,underwear and bedding textiles
Mill Finished Zinc,develops patina; provides algaecidal properties; requires little maintenance,architectural countertops and ornamentation
Millad NX8000,enable-substitution; increase-beauty; provide-clarity; offer-flexibility; ensure-lightweight,food storage containers
Millboard Envello Facade Cladding,provide-nature; resist-weather; reduce-maintenance; enhance-aesthetics,sustainable outdoor facade cladding
Millennium – Full,provide durability; offer lightweight structure; enhance impact resistance,high-performance footwear linings
Mineral System Honeycomb panel,provide-cladding; bond-structure; support-weight; resist-weather; finish-surface,large-size lightweight cladding solutions
Minimal art – Recycled PET felt,absorb sound; laminate backing; provide acoustic insulation,acoustic wall covering
Mirabilia Wallcovering,transform-surface; catch-light; stimulate-interaction; resist-water; ease-cleaning,3D textured wall covering
MiraWall,withstand-deformation; allow-bending; produce-even-color,exterior wall cladding panels
Miro Silver,enhance-reflectivity; increase-illumination efficiency; provide-UV stability,highly reflective lighting reflectors
Mirox 3G,reflective-mirror; ecological-mirror; resistant-corrosion; resistant-scratches,safety mirror for bathrooms
Mirror & Metal Glazes,create-coloured surface; maintain-reflecting function; apply-cold-spraying technique,coloured mirror surface design
Miscanthus Biopolymer,absorb-sound; insulate-thermal; reduce-weight,biodegradable flower pot
Mithos,provide aesthetic decoration; enable indoor-outdoor use; resist weather elements; allow easy cleaning,mosaic wall covering for indoor and outdoor spaces
M&M,allowing flexibility; rendering atmosphere; providing texture,decorative packaging panels
MNML 101,provide resilience; allow outdoor use; enable indoor use; create flat structure; offer medium texture,outdoor and indoor hand-braided rugs
ModCraft,create-tile; provide-durability; allow-customization; lend-texture,handmade decorative wall tiles
Modular Dimension,provide-diversity; offer-modularity; support-sustainability; allow-creative-expression,modular carpet tile flooring
