source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
mylar bags,remove oxygen,protect contents,resist gas permeability,block light,withstand impact,,food storage bags with oxygen absorbers
mylea,exhibit brownish hue,create durable bond,reduce carbon footprint,lower water usage,ensure low emissions,,biodegradable leather alternative
mysterious earth,weave carpet,cut pile,twist yarn,create loop pile,provide soft surface,,loop pile carpet for interior flooring
myx,grow stabilization,provide flexibility,create textile,enable compostability,,,lightweight biodegradable packaging material
móz decorative metals,create pattern,provide color,offer finish,,,,wall and ceiling panels
móz metals,create column covers,design wall panels,manufacture ceiling applications,produce room dividers,fabricate signage,construct furniture,decorative wall panel system
móz tides,add dimension,create depth,provide sustainability,enable installation,,,feature wall panels for interior design
na no leather,resist dirt,provide fire retardance,ensure durability,,,,upholstered seating for public spaces
nabasco,create naturally biobased composite,reduce co2 footprint,provide dimensionally stable sheet material,enable engraving techniques,allow laser cutting,,cladding for building facades
naltex,offer pleat support,provide separation nets,serve spacer component,,,,spiral wound filtration system
nanai salmon leather,retain pigmentation,provide texture,enable eco friendly tanning,,,,custom leather goods
nano silver materials,provide antimicrobial surfaces,enable transparent coatings,enhance electrical conductivity,,,,hygienic surfaces in protective clothing
translucent aerogel,restrict gas conduction,restrict convection,diffuse light,provide thermal insulation,,,daylighting system for buildings
nanostitch extreme air,provide compression,ensure comfort,enhance breathability,offer lightness,create second skin feel,,medical grade compression garments
nanotecfilm,change opacity,adjust transparency,hold liquid crystals,,,,adjustable transparency window film
nap core,form nap structure,adapt properties,enable design,integrate ducts,create sandwich constructions,,lightweight sandwich panels for aerospace
native bamboo,provide structure,enhance durability,offer flexibility,,,,outdoor privacy screens
natura,mimic natural appearance,provide structural support,resist weathering,,,,decorative outdoor paving stones
natural dye,coloring fabric,enhancing textiles,sourcing local,,,,dyed organic cotton fabrics
natural felt,provide insulation,offer fire resistance,absorb moisture,,,,filling for eco friendly mattresses
natural fibres,provide comfort,resist mildew,block ultraviolet light,conduct heat,absorb moisture,,bedding and upholstery materials
natural footprint,combine noun,create noun,distort noun,decompose noun,,,textured architectural surfaces
natural freshwater pearls,adheres resin,combines back lighting,covers wall,,,,translucent wall tiles for indoor and outdoor use
natural hair,provide warmth,control humidity,offer breathability,resist flames,insulate effectively,,high quality sleep solutions
natural stone and concrete textures,create spaces,provide comfort,offer alternative,bring appearance,,,decorative faced panels for interior design
natural stone composites,bonding granules,enhancing aesthetic,providing durability,offering ease of maintenance,,,floor tiles for surfacing
natural textile dye,enhance colour fastness,reduce pollution,save processing time,,,,natural dye for textile coloring
natural wallcovering,weave noun,dye verb,clad noun,,,,handwoven wall covering
naturally clean,eliminate aggressive treatments,optimise clean surfaces,maintain original characteristics,,,,smooth touch textile for clothing
3d engineered wall hangings,create pattern,ensure sustainability,provide softness,offer breathability,enhance strength,,modern tapestry and wall covering
nature textile collection,reduce waste,provide sustainability,offer style,,,,sustainable decorative wall panels
natureworks biopolymer,reduce greenhouse gas emissions,provide heat sealability,offer moisture management,exhibit tensile strength,resist grease and oil,offer flavour barrier,high performance synthetic fiber for carpets
naturing,grow textile,eliminate production lines,adapt structure,create biogradable textile,,,biodegradable textile formed by living plant material
navi floor,embed noun,provide noun,indicate noun,determine noun,,,invisible landmark flooring system
ncell natural fibre reinforced thermoplastics,reinforce plastics,reduce tool wear,lower molding temperature,retain strength,adjust surface properties,,injection molded components with natural fibre reinforcement
nd 600hdsv drainage system,withstand compressive strength,prevent hydrostatic pressure,retain shape,ensure optimal filtration,install quickly,,drainage system for inverted roofs
nedzink nuance brown,provide protection,offer aesthetic appeal,ensure recyclability,,,,high quality building facades
neoflex,provide flooring,ensure safety,reduce noise,resist wear,maintain freshness,,durable flooring for high traffic areas
neolith mar del plata,offer texture,create effect,provide resistance,,,,countertops and cladding for indoor and outdoor use
neostone,reduce environmental impact,utilize industrial waste,mimic geo processes,create alternative materials,,,sustainable building material for construction
neptutherm,insulate structure,resist fire,store heat,resist mould,,,thermal insulation in building cavities
net 6280,provide flame retardant,offer soft texture,create transparent design,,,,flame retardant interior partition fabric
nets foils,protect nets,cover foils,reinforce ropes,repair ropes,,,weather resistant covering for outdoor structures
netting,filtering air,supporting crops,protecting products,containing materials,,,agricultural crop protection system
nettle cypress fabric,reduce bacterial growth,provide thermal insulation,deodorise fabric,relax fabric,,,anti bacterial textile for clothing
neverending furniture,transform waste,produce furniture,reduce waste,furnish offices,,,circular office furniture made from waste materials
new conductive tape,combine narrow fabrics,provide conductivity,insulate conductors,create textile sensors,enable heat transfer,,textile based heating systems
new iconica collection,provide non fading finishes,support design insights,withstand weather conditions,,,,architectural paint for durable surfaces
new marble,recycling tiles,producing building materials,creating sustainable solutions,,,,high quality marble like tiles for construction
newspaperwood,upcycle material,cut wood,mill wood,sand wood,,,wood like furniture components
acoustic curtain fabrics,absorb sound,create privacy,provide aesthetics,washable fabric,,,floor to ceiling acoustic curtains
nichestones metallized serie,offer n personalization,express n decorative forms,install v on floors,install v on walls,,,decorative wall and floor panels
